season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7828176,34,13,Leicester_City,Home,355152,172632,Demarai Gray,demarai-gray,M,False,,,2.0,6.0,12.0,18.0,2.0,2.0,2.0,,,,,,,,4.0,2.0,,,1.0,,,,,1.0,1.0,,72.0,,,,,,,12.0,,6.5,,,,,,2.0,,,3.0,,12.0,15.0,27.0,0,,34.0,,,,
2018-19,7828176,34,13,Leicester_City,Home,356398,172780,James Maddison,james-maddison,M,False,2.0,,2.0,40.0,10.0,48.0,2.0,,5.0,,,,3.0,,,1.0,7.0,6.0,,,1.0,,,,,,1.0,,90.0,,,,,,,18.0,,6.9,,,1.0,,,,5.0,,2.0,,53.0,10.0,58.0,1,3.0,76.0,3.0,3.0,,2.0
2018-19,7828176,34,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,3.0,50.0,38.0,88.0,3.0,1.0,11.0,,,,1.0,,,2.0,9.0,2.0,,1.0,1.0,,,,,1.0,1.0,,72.0,,,,,,,15.0,,6.0,,,1.0,,2.0,2.0,,,4.0,,56.0,41.0,97.0,1,1.0,111.0,2.0,,,1.0
2018-19,7828192,35,13,Leicester_City,Away,47737,51938,Marc Albrighton,marc-albrighton,M,False,,,,14.0,5.0,19.0,,,5.0,,,,2.0,,,3.0,8.0,5.0,,,,,,,,,1.0,,64.0,,,,,,,25.0,,6.1,,,,,,5.0,7.0,,2.0,,28.0,7.0,28.0,0,2.0,54.0,2.0,1.0,2.0,1.0
2018-19,7828192,35,13,Leicester_City,Away,123166,86881,Nampalys Mendy,nampalys-mendy,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7828192,35,13,Leicester_City,Away,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,2.0,24.0,15.0,39.0,,,5.0,1.0,,,1.0,,,2.0,5.0,5.0,,1.0,,1.0,,,,,1.0,,89.0,,,,,,,9.0,,6.8,,,,,2.0,4.0,,,3.0,,26.0,15.0,41.0,0,2.0,58.0,3.0,1.0,2.0,
2018-19,7828192,35,13,Leicester_City,Away,355152,172632,Demarai Gray,demarai-gray,M,False,,,1.0,10.0,5.0,15.0,,2.0,7.0,,,,,,,,3.0,4.0,,,1.0,,,,,2.0,,,84.0,,,,,,,12.0,,6.5,,,,,1.0,3.0,,,4.0,,16.0,7.0,23.0,0,,33.0,2.0,1.0,1.0,
2018-19,7828192,35,13,Leicester_City,Away,356398,172780,James Maddison,james-maddison,M,False,2.0,,4.0,24.0,7.0,29.0,,,6.0,,,1.0,3.0,,,1.0,8.0,3.0,,,2.0,,,,,,1.0,,90.0,2.0,1.0,,,,,15.0,,7.1,,,1.0,,,4.0,7.0,,5.0,,34.0,7.0,34.0,4,1.0,56.0,2.0,,2.0,1.0
2018-19,7828192,35,13,Leicester_City,Away,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,2.0,30.0,19.0,49.0,,1.0,9.0,,,,4.0,,,2.0,7.0,9.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,12.0,,6.8,,,1.0,,4.0,1.0,,,5.0,,36.0,22.0,58.0,1,7.0,77.0,,,1.0,6.0
2018-19,7828215,36,13,Leicester_City,Home,47737,51938,Marc Albrighton,marc-albrighton,M,False,1.0,,4.0,31.0,10.0,40.0,1.0,,13.0,1.0,,1.0,,,,1.0,5.0,3.0,,,,,,,,,3.0,,86.0,,,,,,,24.0,,7.2,,,,,,4.0,5.0,,7.0,,45.0,12.0,52.0,1,1.0,72.0,1.0,1.0,1.0,
2018-19,7828215,36,13,Leicester_City,Home,123166,86881,Nampalys Mendy,nampalys-mendy,M,True,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,2.0,,6.7,,,,,,,,,,,2.0,2.0,4.0,0,1.0,6.0,,,,1.0
2018-19,7828215,36,13,Leicester_City,Home,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,3.0,27.0,11.0,38.0,1.0,2.0,2.0,,,1.0,3.0,,,,4.0,3.0,,,,,1.0,,,1.0,2.0,,90.0,2.0,,,,,,12.0,,7.9,,,2.0,,1.0,,2.0,,4.0,,38.0,11.0,47.0,5,1.0,60.0,1.0,,,1.0
2018-19,7828215,36,13,Leicester_City,Home,355152,172632,Demarai Gray,demarai-gray,M,True,,,,,,,1.0,,2.0,,,1.0,,,,2.0,3.0,,,,,,,,,,,,9.0,,,,,,,3.0,,6.1,,,,,,,,,1.0,,,1.0,1.0,1,,5.0,,,,
2018-19,7828215,36,13,Leicester_City,Home,356398,172780,James Maddison,james-maddison,M,False,3.0,,4.0,41.0,14.0,52.0,2.0,,3.0,2.0,,2.0,1.0,,,2.0,8.0,7.0,,,1.0,1.0,,,,,3.0,,90.0,1.0,,,,,,19.0,,7.8,,,1.0,,,3.0,10.0,,5.0,,55.0,15.0,60.0,4,2.0,88.0,,4.0,1.0,1.0
2018-19,7828215,36,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,1.0,9.0,15.0,24.0,1.0,1.0,11.0,,1.0,,1.0,,,1.0,4.0,7.0,,,1.0,,,,,2.0,,,45.0,1.0,,,,,,4.0,,6.9,,,,,1.0,,,,2.0,,11.0,15.0,26.0,1,5.0,39.0,,1.0,,4.0
2018-19,7828215,36,13,Leicester_City,Home,833057,197469,Hamza Choudhury,hamza-choudhury,M,False,1.0,,1.0,24.0,22.0,45.0,,,6.0,,,,,,,2.0,5.0,5.0,,,2.0,,,,,2.0,2.0,,79.0,1.0,,,,,,4.0,,7.2,,,,,,2.0,1.0,,2.0,,25.0,22.0,46.0,1,3.0,63.0,,1.0,1.0,1.0
2018-19,7828231,37,13,Leicester_City,Away,47737,51938,Marc Albrighton,marc-albrighton,M,False,,,1.0,5.0,14.0,19.0,1.0,,5.0,,,1.0,2.0,,,2.0,7.0,3.0,,,,,,,,,,,85.0,1.0,,,,,,15.0,,6.2,,,,,1.0,3.0,4.0,,3.0,,13.0,16.0,25.0,2,,45.0,1.0,2.0,1.0,
2018-19,7828231,37,13,Leicester_City,Away,123166,86881,Nampalys Mendy,nampalys-mendy,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7828231,37,13,Leicester_City,Away,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,2.0,11.0,13.0,24.0,,1.0,3.0,,,,1.0,,,,2.0,3.0,,,1.0,,,,,1.0,,,75.0,1.0,1.0,,,,,6.0,,6.8,,,,,1.0,,,,2.0,,14.0,15.0,29.0,1,1.0,37.0,1.0,1.0,,
2018-19,7828231,37,13,Leicester_City,Away,355152,172632,Demarai Gray,demarai-gray,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,1.0,,6.5,,,,,,,,,,,,1.0,1.0,0,,1.0,,,,
2018-19,7828231,37,13,Leicester_City,Away,356398,172780,James Maddison,james-maddison,M,False,,,2.0,10.0,9.0,19.0,,1.0,5.0,,,1.0,1.0,,,2.0,5.0,6.0,,,,,,,,,1.0,,80.0,,,,,,,10.0,,6.5,,,1.0,,,3.0,,,2.0,,10.0,13.0,23.0,2,1.0,38.0,2.0,3.0,1.0,
2018-19,7828231,37,13,Leicester_City,Away,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,3.0,9.0,38.0,47.0,,3.0,8.0,,,,1.0,,,,1.0,13.0,,,,,,,,7.0,,,90.0,,,,,,,5.0,,7.8,,,,,2.0,4.0,,,5.0,,11.0,41.0,52.0,0,6.0,74.0,,,4.0,1.0
2018-19,7828231,37,13,Leicester_City,Away,833057,197469,Hamza Choudhury,hamza-choudhury,M,False,,,1.0,5.0,21.0,26.0,1.0,1.0,2.0,1.0,,,,,,,2.0,5.0,,,,,,,,1.0,1.0,,90.0,,,,,,,3.0,,7.2,,,,,6.0,1.0,,,2.0,,6.0,22.0,28.0,0,4.0,43.0,,,,2.0
2018-19,7828250,38,13,Leicester_City,Home,47737,51938,Marc Albrighton,marc-albrighton,M,False,,,1.0,8.0,13.0,21.0,,,4.0,,,,,,,,5.0,4.0,,,1.0,,,,,3.0,1.0,,76.0,,,,,,,18.0,,6.7,,,,,,5.0,5.0,,3.0,,19.0,14.0,28.0,0,2.0,48.0,2.0,1.0,1.0,2.0
2018-19,7828250,38,13,Leicester_City,Home,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,1.0,20.0,8.0,28.0,1.0,1.0,4.0,,,,1.0,,,,3.0,4.0,,,1.0,,,,,1.0,,,90.0,1.0,,,,,,8.0,,7.1,,,2.0,,,2.0,1.0,,1.0,,24.0,11.0,34.0,3,1.0,44.0,1.0,1.0,2.0,1.0
2018-19,7828250,38,13,Leicester_City,Home,355152,172632,Demarai Gray,demarai-gray,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7828250,38,13,Leicester_City,Home,356398,172780,James Maddison,james-maddison,M,False,1.0,,2.0,13.0,6.0,18.0,2.0,,1.0,,,1.0,4.0,,,1.0,9.0,5.0,,,2.0,,,,,,2.0,,84.0,,,,,,,10.0,,6.6,,,,,,3.0,4.0,,3.0,,18.0,7.0,21.0,1,,40.0,2.0,2.0,3.0,
2018-19,7828250,38,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,1.0,16.0,26.0,42.0,,1.0,6.0,,,,1.0,,,,3.0,2.0,,,2.0,,,,,4.0,,,66.0,,,,,,,12.0,,7.1,,,1.0,,,,1.0,,1.0,,20.0,30.0,49.0,1,1.0,62.0,4.0,,,1.0
2018-19,7828250,38,13,Leicester_City,Home,833057,197469,Hamza Choudhury,hamza-choudhury,M,False,,,2.0,14.0,21.0,35.0,1.0,,7.0,,,,1.0,,,,3.0,4.0,,,1.0,,,,,1.0,,,90.0,,,,,,,7.0,,6.9,,,1.0,,,,,,3.0,,16.0,24.0,40.0,1,4.0,50.0,2.0,,,2.0
