season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard,attFreekickPost,attFreekickTarget,attLgRight,attObxdLeft,attObxdRight,attPenMiss,attPenTarget,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,secondYellow,attLgLeft,expectedGoalsFreekick,totalDistance
2022-23,2292976,17,2022-12-28 20:00:00,2,Leeds,Home,128.0,11.0,1.0,1.0,,1.0,,98.0,3.0,2.0,6.0,1.0,4.0,13.0,225.0,1.0,,14.0,7.0,5.0,4.0,,1.0,,,1.0,2.0,,,,,5.0,,,,,,7.0,21.0,5.0,5.0,4.0,51.0,52.0,,,,1.0,13.0,4.0,8.0,,,3.0,3.0,1.0,1.0,7.0,3.0,39.0,38.0,1.0,19.0,6.0,1.0,,21.0,30.0,11.0,14.0,,,3.0,1.0,2.0,134.0,1.0,1.0,1.0,,1.0,,9.0,,1.0,,6.0,,4.0,4.0,,,6.0,62.0,62.0,29.0,5.0,,3.0,2.0,1.0,282.0,5.0,1.0,,47.0,36.0,17.0,,,,,,123.0,123.0,6.0,17.0,20.0,31.0,,,,,24.0,0.0,60.0,4.0,2.0,6.0,,,4.0,,,5.0,12.0,55.0,210.0,13.0,5.0,152.0,29.0,19.0,12.0,3.0,8.0,5.0,,80.0,2.0,163.0,1.0,2.0,14.0,4.0,46.0,,307.0,1.0,0.0,9.0,13.0,,17.0,3.0,485.0,18.0,17.0,,6.0,3.0,6.0,0.0,,,,,,,,,,,,,,,
2022-23,2292985,18,2022-12-31 15:00:00,2,Leeds,Away,102.0,14.0,1.0,3.0,2.0,,1.0,90.0,2.0,1.0,8.0,2.0,3.0,15.0,189.0,,,12.0,15.0,12.0,6.0,1.0,1.0,,,,1.0,,,,,6.0,,,,,,8.0,12.0,4.0,6.0,2.0,35.0,68.0,,,,1.0,13.0,4.0,9.0,,,3.0,1.0,1.0,,6.0,4.0,59.0,59.0,1.0,23.0,12.0,,,17.0,52.0,19.0,11.0,,,1.0,1.0,1.0,156.0,,,,,,,13.0,,5.0,,12.0,,10.0,10.0,1.0,,8.0,59.0,68.0,24.0,9.0,,3.0,4.0,1.0,261.0,2.0,1.0,,55.0,20.0,18.0,,,,,,150.0,150.0,,25.0,27.0,41.0,,,,1.0,16.0,0.0,47.0,4.0,1.0,5.0,,,3.0,,,5.0,8.0,29.0,179.0,13.0,7.0,132.0,43.0,23.0,14.0,3.0,6.0,3.0,,70.0,6.0,171.0,5.0,2.0,10.0,3.0,62.0,,297.0,1.0,0.0,8.0,32.0,2.0,16.0,5.0,499.0,11.0,18.0,,4.0,3.0,18.0,0.0,,,,,,,,,,,,,,,
2022-23,2292996,19,2023-01-04 19:45:00,2,Leeds,Home,222.0,22.0,3.0,6.0,3.0,4.0,,162.0,10.0,1.0,6.0,5.0,2.0,18.0,378.0,,1.0,22.0,25.0,23.0,7.0,2.0,7.0,,,,,,,,,5.0,,,,,2.0,8.0,7.0,8.0,11.0,3.0,63.0,57.0,1.0,1.0,1.0,3.0,9.0,2.0,3.0,,,8.0,10.0,3.0,,14.0,,58.0,65.0,3.0,21.0,9.0,1.0,,25.0,38.0,11.0,18.0,1.0,,4.0,1.0,,171.0,2.0,,2.0,2.0,,,14.0,2.0,,,9.0,,13.0,13.0,,,6.0,135.0,69.0,39.0,1.0,1.0,3.0,8.0,6.0,440.0,2.0,3.0,,59.0,64.0,29.0,1.0,1.0,1.0,,,161.0,161.0,4.0,17.0,29.0,63.3,,2.0,1.0,1.0,22.0,0.0,107.0,,,,,,6.0,2.0,,4.0,10.0,80.0,347.0,9.0,11.0,254.0,42.0,21.0,10.0,8.0,22.0,14.0,,109.0,7.0,244.0,,1.0,21.0,2.0,47.0,3.0,476.0,1.0,0.0,14.0,19.0,1.0,24.0,3.0,701.0,23.0,20.0,,5.0,8.0,13.0,0.0,,,,,,,,,,,,,,,
2022-23,2293000,20,2023-01-13 20:00:00,2,Leeds,Away,119.0,16.0,1.0,5.0,4.0,1.0,1.0,134.0,5.0,3.0,4.0,,8.0,11.0,248.0,,1.0,31.0,16.0,11.0,9.0,2.0,,,,,,,,,,13.0,,,1.0,,2.0,13.0,8.0,3.0,16.0,,40.0,64.0,3.0,4.0,1.0,,13.0,8.0,8.0,,1.0,11.0,10.0,,,14.0,2.0,70.0,56.0,,7.0,4.0,,,26.0,57.0,18.0,12.0,,,3.0,2.0,,158.0,1.0,,1.0,1.0,,,5.0,1.0,1.0,,4.0,1.0,12.0,12.0,1.0,,4.0,70.0,57.0,23.0,,,3.0,9.0,4.0,336.0,2.0,2.0,,74.0,47.0,40.0,,,,,,189.0,189.0,6.0,16.0,38.0,46.6,1.0,,,,24.0,0.0,89.0,2.0,1.0,3.0,,,4.0,1.0,,5.0,14.0,74.0,231.0,13.0,12.0,153.0,40.0,7.0,20.0,10.0,22.0,12.0,,122.0,5.0,226.0,1.0,3.0,12.0,9.0,41.0,5.0,357.0,1.0,0.0,16.0,27.0,2.0,38.0,2.0,605.0,35.0,21.0,,6.0,11.0,14.0,0.0,,,,,,,,,,,,,,,
2022-23,2293014,21,2023-01-22 14:00:00,2,Leeds,Home,132.0,17.0,,,,2.0,,237.0,3.0,1.0,8.0,5.0,4.0,12.0,369.0,,,25.0,18.0,18.0,7.0,,,,,1.0,1.0,,,,,8.0,,,,,,4.0,3.0,3.0,2.0,7.0,63.0,69.0,,,,,16.0,3.0,7.0,,,2.0,6.0,3.0,,9.0,,49.0,60.0,,18.0,9.0,,,19.0,64.0,10.0,18.0,,,3.0,2.0,1.0,219.0,,,,,,,9.0,,,,9.0,,7.0,7.0,1.0,,8.0,135.0,67.0,32.0,3.0,,,7.0,5.0,475.0,1.0,1.0,,102.0,54.0,38.0,,,,,,176.0,176.0,3.0,27.0,31.0,58.5,,,,2.0,26.0,0.0,84.0,,,,,,1.0,,,3.0,7.0,134.0,355.0,16.0,7.0,168.0,50.0,18.0,12.0,2.0,13.0,11.0,,199.0,4.0,346.0,,1.0,17.0,5.0,47.0,1.0,501.0,,0.0,9.0,17.0,2.0,25.0,2.0,695.0,19.0,15.0,,7.0,2.0,8.0,0.0,,,,,,,,,,,,,,,
2022-23,2293027,22,2023-02-05 14:00:00,2,Leeds,Away,210.0,20.0,1.0,4.0,3.0,2.0,1.0,232.0,2.0,1.0,5.0,2.0,8.0,27.0,438.0,,,37.0,28.0,30.0,8.0,1.0,,,,,,,,,,7.0,,,,,3.0,7.0,4.0,2.0,6.0,4.0,68.0,79.0,1.0,1.0,,,7.0,3.0,9.0,,,2.0,7.0,5.0,,14.0,,77.0,72.0,,10.0,6.0,,,27.0,86.0,14.0,14.0,,,3.0,3.0,,245.0,,,,,,,3.0,,1.0,,6.0,,2.0,2.0,,,5.0,150.0,96.0,56.0,,,3.0,6.0,4.0,566.0,2.0,3.0,,126.0,77.0,36.0,,,,,,212.0,212.0,9.0,28.0,36.0,69.9,,,,1.0,23.0,0.0,122.0,1.0,,1.0,,,3.0,,,5.0,11.0,119.0,423.0,7.0,9.0,248.0,63.0,10.0,21.0,2.0,17.0,15.0,,196.0,2.0,354.0,1.0,2.0,18.0,9.0,69.0,3.0,585.0,,0.0,10.0,19.0,,38.0,2.0,804.0,21.0,19.0,,9.0,2.0,14.0,0.0,,,,,,,,,,,,,,,
2022-23,2293034,23,2023-02-12 14:00:00,2,Leeds,Home,85.0,10.0,4.0,6.0,2.0,5.0,,91.0,2.0,2.0,5.0,4.0,4.0,17.0,170.0,,,18.0,12.0,16.0,6.0,3.0,6.0,,,,,,,,,7.0,,,,,3.0,10.0,8.0,3.0,13.0,3.0,39.0,72.0,1.0,2.0,,1.0,12.0,6.0,9.0,,,7.0,6.0,2.0,,21.0,2.0,61.0,61.0,1.0,14.0,7.0,,1.0,24.0,48.0,10.0,13.0,,,4.0,4.0,,131.0,,,,,,,4.0,,,,7.0,,10.0,10.0,,,5.0,42.0,55.0,23.0,3.0,,3.0,6.0,6.0,231.0,1.0,,,36.0,37.0,29.0,,,,,,144.0,144.0,13.0,19.0,34.0,33.0,,,,,20.0,0.0,39.0,2.0,1.0,3.0,,,4.0,1.0,,3.0,13.0,41.0,158.0,12.0,9.0,101.0,23.0,14.0,18.0,6.0,18.0,12.0,,80.0,7.0,168.0,,2.0,24.0,5.0,47.0,3.0,251.0,,0.0,16.0,23.0,1.0,20.0,2.0,460.0,23.0,16.0,,9.0,7.0,13.0,0.0,,,,,,,,,,,,,,,
2022-23,2293044,24,2023-02-18 15:00:00,2,Leeds,Away,157.0,16.0,1.0,6.0,5.0,5.0,,125.0,10.0,,12.0,2.0,5.0,20.0,276.0,,,22.0,18.0,20.0,6.0,1.0,1.0,,,,,,,,,7.0,,,,,,4.0,10.0,5.0,3.0,5.0,52.0,79.0,1.0,1.0,,3.0,10.0,4.0,16.0,2.0,,4.0,6.0,9.0,,10.0,1.0,63.0,62.0,3.0,18.0,10.0,1.0,,17.0,61.0,6.0,8.0,,1.0,2.0,2.0,,183.0,,,,,,,13.0,,4.0,,10.0,,11.0,11.0,1.0,,12.0,88.0,80.0,38.0,6.0,,3.0,4.0,,375.0,4.0,,,46.0,73.0,31.0,,,,,,179.0,179.0,3.0,39.0,23.0,50.0,,,,1.0,22.0,0.0,77.0,5.0,,3.0,1.0,,4.0,1.0,,4.0,9.0,67.0,258.0,10.0,7.0,194.0,47.0,18.0,23.0,2.0,19.0,17.0,,123.0,10.0,225.0,5.0,,22.0,6.0,71.0,,400.0,1.0,0.0,8.0,24.0,,22.0,3.0,614.0,14.0,18.0,,10.0,4.0,14.0,0.0,,,,,,,,,,,,,,,
2022-23,2293054,25,2023-02-25 15:00:00,2,Leeds,Home,212.0,19.0,2.0,6.0,4.0,2.0,,234.0,3.0,,5.0,3.0,3.0,20.0,440.0,1.0,,22.0,11.0,12.0,7.0,1.0,3.0,1.0,,,,,,,,11.0,,,,,,8.0,5.0,3.0,9.0,5.0,78.0,58.0,,,,1.0,11.0,4.0,10.0,,,9.0,13.0,8.0,1.0,13.0,1.0,61.0,55.0,1.0,12.0,6.0,,,25.0,57.0,15.0,13.0,,,2.0,1.0,,178.0,1.0,,,1.0,,,3.0,1.0,,1.0,6.0,,8.0,8.0,,,5.0,130.0,64.0,46.0,2.0,,2.0,7.0,4.0,496.0,3.0,3.0,,89.0,95.0,36.0,,,,,,150.0,150.0,5.0,23.0,25.0,60.6,,,,,22.0,0.0,134.0,,2.0,2.0,1.0,1.0,6.0,,,3.0,12.0,131.0,416.0,11.0,9.0,236.0,39.0,12.0,21.0,4.0,26.0,22.0,1.0,165.0,5.0,310.0,,,9.0,4.0,38.0,2.0,520.0,1.0,0.0,14.0,23.0,1.0,25.0,2.0,742.0,39.0,15.0,,7.0,9.0,15.0,0.0,,,,,,,,,,,,,,,
2022-23,2293064,26,2023-03-04 15:00:00,2,Leeds,Away,195.0,11.0,2.0,7.0,5.0,2.0,1.0,149.0,8.0,,8.0,1.0,4.0,12.0,337.0,,,14.0,14.0,16.0,6.0,1.0,3.0,,,1.0,1.0,,,,,5.0,,,,,2.0,3.0,9.0,4.0,9.0,2.0,58.0,63.0,,,,2.0,7.0,3.0,11.0,,,7.0,9.0,2.0,,17.0,,58.0,61.0,2.0,13.0,4.0,,,22.0,45.0,7.0,11.0,,,3.0,1.0,1.0,160.0,,,,,,,12.0,,1.0,,4.0,,12.0,12.0,1.0,,8.0,94.0,49.0,27.0,5.0,,3.0,4.0,2.0,398.0,2.0,3.0,,66.0,51.0,22.0,,,,,,152.0,152.0,4.0,25.0,25.0,42.8,,,,1.0,22.0,0.0,113.0,1.0,1.0,2.0,1.0,,6.0,,,3.0,8.0,80.0,317.0,7.0,7.0,226.0,31.0,13.0,20.0,5.0,17.0,12.0,,115.0,4.0,216.0,1.0,,9.0,5.0,37.0,2.0,425.0,2.0,0.0,11.0,23.0,2.0,17.0,0.0,630.0,21.0,20.0,,11.0,7.0,15.0,0.0,,,,,,,,,,,,,,,
2022-23,2293074,27,2023-03-11 15:00:00,2,Leeds,Home,168.0,12.0,,1.0,1.0,,,143.0,5.0,2.0,8.0,4.0,3.0,16.0,310.0,,1.0,6.0,12.0,5.0,8.0,,2.0,1.0,,,,,,,,10.0,,,,,,9.0,11.0,4.0,7.0,5.0,59.0,66.0,,,,2.0,13.0,5.0,14.0,,,4.0,9.0,,,17.0,1.0,62.0,35.0,2.0,26.0,14.0,,,19.0,34.0,12.0,9.0,1.0,,,,,146.0,2.0,1.0,,1.0,1.0,,8.0,1.0,,,14.0,,21.0,21.0,3.0,,8.0,77.0,45.0,29.0,7.0,1.0,3.0,7.0,4.0,352.0,3.0,1.0,,56.0,30.0,21.0,,,,,,125.0,125.0,6.0,26.0,26.0,38.0,,,1.0,,23.0,0.0,96.0,,1.0,2.0,,1.0,3.0,,,5.0,8.0,90.0,288.0,13.0,10.0,198.0,29.0,26.0,13.0,1.0,10.0,9.0,1.0,115.0,2.0,190.0,,2.0,11.0,4.0,33.0,3.0,378.0,,0.0,12.0,14.0,1.0,6.0,1.0,578.0,25.0,20.0,,6.0,4.0,10.0,0.0,,,,,,,,,,,,,,,
2022-23,2293089,28,2023-03-18 15:00:00,2,Leeds,Away,105.0,19.0,1.0,4.0,3.0,3.0,,98.0,4.0,2.0,5.0,1.0,5.0,14.0,199.0,1.0,2.0,15.0,16.0,11.0,4.0,,2.0,,,2.0,2.0,,,,,7.0,,,,,,4.0,16.0,7.0,7.0,4.0,49.0,66.0,2.0,,2.0,3.0,11.0,2.0,10.0,,1.0,4.0,9.0,2.0,1.0,8.0,1.0,55.0,52.0,3.0,34.0,16.0,1.0,1.0,24.0,44.0,9.0,13.0,,1.0,3.0,2.0,2.0,135.0,3.0,1.0,2.0,2.0,1.0,,9.0,3.0,3.0,1.0,16.0,,9.0,9.0,2.0,,5.0,59.0,58.0,27.0,5.0,1.0,2.0,5.0,4.0,265.0,5.0,1.0,,37.0,50.0,14.0,,,,,,150.0,150.0,2.0,33.0,24.0,34.1,,,,,24.0,0.0,51.0,6.0,,6.0,,,5.0,1.0,2.0,4.0,13.0,42.0,183.0,11.0,7.0,137.0,43.0,34.0,20.0,2.0,15.0,13.0,,77.0,5.0,172.0,3.0,2.0,11.0,5.0,47.0,,294.0,1.0,0.0,11.0,21.0,3.0,19.0,5.0,508.0,17.0,17.0,,7.0,4.0,14.0,0.0,,,,,,,,,,,,,,,
2022-23,2293091,29,2023-04-01 15:00:00,2,Leeds,Away,118.0,20.0,,1.0,1.0,1.0,,103.0,2.0,1.0,1.0,1.0,,19.0,220.0,,,14.0,20.0,12.0,5.0,,,,,,,,,,,7.0,,,,,,8.0,11.0,2.0,6.0,1.0,51.0,51.0,,,,1.0,11.0,1.0,13.0,1.0,,3.0,2.0,1.0,,9.0,,60.0,50.0,1.0,13.0,5.0,,1.0,22.0,51.0,13.0,11.0,,,3.0,4.0,,140.0,,,,,,,5.0,1.0,,1.0,5.0,,13.0,13.0,2.0,,1.0,56.0,54.0,23.0,4.0,1.0,1.0,4.0,5.0,282.0,6.0,,,46.0,51.0,15.0,1.0,1.0,1.0,,,125.0,125.0,6.0,24.0,15.0,32.9,,,,,22.0,0.0,60.0,1.0,1.0,1.0,,,1.0,,,5.0,16.0,59.0,206.0,11.0,5.0,142.0,46.0,13.0,12.0,3.0,10.0,7.0,,100.0,3.0,175.0,,1.0,7.0,,47.0,1.0,307.0,,0.0,7.0,21.0,1.0,20.0,2.0,474.0,16.0,7.0,,6.0,3.0,12.0,0.0,,,,,,,,,,,,,,,
2022-23,2293103,30,2023-04-09 14:00:00,2,Leeds,Home,173.0,16.0,2.0,7.0,5.0,3.0,2.0,139.0,3.0,,4.0,1.0,6.0,15.0,305.0,1.0,,18.0,23.0,16.0,5.0,2.0,2.0,,,,1.0,,,,,7.0,,,,,1.0,9.0,14.0,2.0,8.0,3.0,60.0,81.0,1.0,1.0,,,10.0,,33.0,1.0,,2.0,8.0,6.0,,17.0,,89.0,65.0,,23.0,13.0,,,23.0,62.0,11.0,8.0,1.0,,2.0,2.0,1.0,169.0,1.0,1.0,1.0,,1.0,,3.0,,,,13.0,,13.0,13.0,1.0,,4.0,84.0,72.0,44.0,4.0,,2.0,6.0,7.0,387.0,4.0,,,36.0,84.0,31.0,,,,,,161.0,161.0,7.0,29.0,39.0,48.0,,3.0,,1.0,20.0,0.0,90.0,2.0,1.0,2.0,,,4.0,,,4.0,11.0,76.0,289.0,10.0,8.0,198.0,52.0,23.0,12.0,2.0,18.0,16.0,,125.0,5.0,223.0,,,7.0,9.0,44.0,2.0,403.0,3.0,0.0,11.0,34.0,1.0,24.0,3.0,632.0,22.0,22.0,,7.0,2.0,19.0,0.0,,1.0,,,,,,,,,,,,,
2022-23,2293113,31,2023-04-17 20:00:00,2,Leeds,Home,105.0,22.0,2.0,3.0,1.0,,1.0,102.0,2.0,1.0,7.0,2.0,1.0,20.0,204.0,,,13.0,9.0,10.0,7.0,3.0,3.0,1.0,,,,,,,1.0,9.0,,,,1.0,1.0,2.0,11.0,2.0,7.0,6.0,50.0,61.0,1.0,1.0,1.0,1.0,7.0,3.0,12.0,,,4.0,6.0,2.0,,10.0,,48.0,45.0,1.0,17.0,6.0,,,13.0,33.0,6.0,11.0,,,2.0,2.0,,137.0,,,,,,,6.0,1.0,,,6.0,1.0,11.0,11.0,,,7.0,45.0,54.0,24.0,2.0,1.0,5.0,5.0,3.0,271.0,2.0,,,29.0,68.0,20.0,,,,,,142.0,142.0,4.0,27.0,22.0,26.4,1.0,,,,17.0,0.0,64.0,1.0,,1.0,,1.0,7.0,2.0,,4.0,7.0,58.0,185.0,7.0,10.0,136.0,44.0,17.0,22.0,4.0,14.0,10.0,1.0,88.0,3.0,174.0,,1.0,15.0,1.0,47.0,1.0,296.0,,0.0,13.0,13.0,,16.0,0.0,470.0,14.0,14.0,,11.0,4.0,7.0,0.0,,,,,,,,,,,,,,,
2022-23,2293125,32,2023-04-22 12:30:00,2,Leeds,Away,158.0,19.0,2.0,4.0,2.0,2.0,,130.0,3.0,,7.0,5.0,8.0,20.0,284.0,,1.0,8.0,16.0,22.0,5.0,1.0,5.0,,,,1.0,,,,,3.0,,,,,1.0,12.0,4.0,8.0,6.0,4.0,58.0,73.0,,1.0,,2.0,8.0,4.0,16.0,,,6.0,8.0,3.0,,12.0,1.0,66.0,61.0,2.0,28.0,16.0,,,29.0,59.0,15.0,10.0,,,3.0,2.0,1.0,171.0,,,,,,,3.0,,3.0,,16.0,,14.0,14.0,1.0,,7.0,77.0,73.0,32.0,8.0,,1.0,5.0,2.0,375.0,4.0,2.0,,81.0,43.0,28.0,,,,,,162.0,162.0,6.0,29.0,27.0,50.7,,,,1.0,14.0,0.0,86.0,,3.0,3.0,1.0,,4.0,2.0,,4.0,17.0,70.0,271.0,8.0,6.0,187.0,54.0,28.0,12.0,6.0,19.0,13.0,,120.0,6.0,224.0,3.0,,14.0,10.0,56.0,2.0,392.0,,0.0,10.0,24.0,2.0,12.0,4.0,595.0,16.0,12.0,,5.0,6.0,12.0,0.0,,1.0,,,,,,,,,,,,,
2022-23,2293132,33,2023-04-25 20:00:00,2,Leeds,Home,93.0,15.0,2.0,5.0,3.0,4.0,,109.0,4.0,,2.0,4.0,9.0,21.0,197.0,,1.0,23.0,18.0,16.0,5.0,2.0,4.0,,,,,,,,,8.0,,,,,1.0,11.0,12.0,3.0,9.0,4.0,39.0,66.0,3.0,2.0,1.0,4.0,10.0,4.0,10.0,,,3.0,7.0,4.0,,11.0,2.0,63.0,58.0,4.0,25.0,13.0,,2.0,21.0,61.0,14.0,15.0,,,2.0,2.0,,160.0,1.0,,1.0,1.0,,,5.0,1.0,,,13.0,,11.0,11.0,2.0,,2.0,64.0,74.0,35.0,6.0,1.0,4.0,4.0,3.0,277.0,6.0,,,18.0,88.0,23.0,,,,,,163.0,163.0,3.0,28.0,29.0,40.8,,2.0,,,20.0,0.0,44.0,1.0,1.0,2.0,1.0,,6.0,1.0,,2.0,9.0,59.0,177.0,10.0,8.0,123.0,50.0,25.0,15.0,3.0,16.0,13.0,,112.0,8.0,200.0,,,19.0,10.0,63.0,4.0,307.0,1.0,0.0,13.0,22.0,3.0,23.0,4.0,531.0,13.0,17.0,,5.0,3.0,11.0,0.0,,,,,,,,,,,,,,,
2022-23,2293140,34,2023-04-30 14:00:00,2,Leeds,Away,210.0,23.0,3.0,6.0,3.0,2.0,,198.0,2.0,,8.0,5.0,3.0,26.0,402.0,,,25.0,12.0,23.0,7.0,2.0,5.0,,,,1.0,,,,,8.0,,,,,1.0,8.0,11.0,1.0,10.0,5.0,75.0,64.0,1.0,,1.0,1.0,11.0,2.0,11.0,,,5.0,6.0,7.0,,16.0,,61.0,66.0,1.0,14.0,2.0,2.0,,25.0,70.0,14.0,11.0,1.0,,4.0,1.0,1.0,192.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,,2.0,,6.0,6.0,,,8.0,123.0,79.0,49.0,2.0,,5.0,5.0,6.0,481.0,3.0,,,87.0,76.0,27.0,,,,,,155.0,155.0,4.0,24.0,28.0,57.9,,,,,24.0,0.0,110.0,2.0,1.0,3.0,,,7.0,1.0,,3.0,12.0,112.0,385.0,11.0,10.0,240.0,47.0,14.0,21.0,5.0,19.0,14.0,,151.0,7.0,279.0,1.0,,18.0,4.0,59.0,1.0,500.0,,0.0,15.0,19.0,,28.0,0.0,722.0,28.0,16.0,,13.0,6.0,8.0,0.0,,1.0,,,,,,,,,,,,,
2022-23,2293154,35,2023-05-06 15:00:00,2,Leeds,Away,79.0,19.0,1.0,3.0,2.0,,,44.0,8.0,,5.0,2.0,1.0,16.0,120.0,,,3.0,13.0,12.0,2.0,1.0,1.0,,,,,,,,,3.0,,,,,,10.0,9.0,9.0,4.0,,28.0,49.0,,,,2.0,10.0,1.0,14.0,,,1.0,3.0,3.0,,5.0,,49.0,26.0,2.0,27.0,12.0,,1.0,17.0,36.0,16.0,3.0,,,,,,104.0,,,,,,,15.0,1.0,1.0,1.0,12.0,,4.0,4.0,1.0,,5.0,36.0,54.0,20.0,10.0,,1.0,2.0,2.0,174.0,2.0,2.0,,13.0,35.0,16.0,,1.0,1.0,,,113.0,113.0,3.0,21.0,17.0,19.1,,,,1.0,19.0,0.0,33.0,2.0,2.0,4.0,,,1.0,1.0,1.0,5.0,7.0,17.0,105.0,10.0,3.0,99.0,51.0,27.0,3.0,1.0,7.0,6.0,,51.0,3.0,109.0,2.0,,9.0,1.0,51.0,3.0,201.0,,0.0,4.0,10.0,1.0,10.0,3.0,330.0,5.0,9.0,,1.0,1.0,5.0,0.0,,,,,,,,,,,,,,,
2022-23,2293166,36,2023-05-13 12:30:00,2,Leeds,Home,72.0,14.0,,3.0,3.0,,1.0,94.0,8.0,,4.0,2.0,1.0,17.0,163.0,,,8.0,18.0,11.0,3.0,1.0,2.0,,,,,,,,,5.0,,,,,1.0,9.0,12.0,6.0,8.0,1.0,39.0,56.0,,1.0,1.0,1.0,11.0,2.0,18.0,,,2.0,5.0,2.0,2.0,13.0,2.0,71.0,50.0,1.0,26.0,11.0,,,29.0,54.0,16.0,13.0,,,4.0,2.0,,132.0,,,,,,,13.0,1.0,,2.0,11.0,,15.0,15.0,3.0,,4.0,41.0,60.0,19.0,6.0,,3.0,1.0,4.0,221.0,6.0,,,46.0,30.0,22.0,2.0,2.0,2.0,,1.0,131.0,131.0,,26.0,24.0,36.1,,2.0,1.0,3.0,19.0,0.0,41.0,2.0,1.0,3.0,,,3.0,,,4.0,15.0,46.0,146.0,11.0,4.0,92.0,41.0,26.0,11.0,1.0,10.0,9.0,,94.0,1.0,171.0,,,21.0,2.0,65.0,,253.0,,1.0,9.0,23.0,,14.0,3.0,447.0,18.0,7.0,,3.0,2.0,12.0,0.0,,,,,,,1.0,,,,,1.0,,,
2022-23,2293178,37,2023-05-21 13:30:00,2,Leeds,Away,120.0,19.0,2.0,5.0,3.0,,,140.0,1.0,1.0,5.0,2.0,1.0,20.0,255.0,1.0,1.0,10.0,34.0,12.0,7.0,1.0,2.0,,,,,,,,,8.0,,,,,1.0,4.0,14.0,5.0,9.0,3.0,54.0,71.0,,,,1.0,16.0,3.0,11.0,,,5.0,11.0,12.0,,4.0,4.0,66.0,45.0,1.0,21.0,8.0,,,21.0,73.0,11.0,6.0,1.0,,1.0,1.0,,162.0,1.0,1.0,1.0,,1.0,,3.0,,,1.0,8.0,,6.0,6.0,,,5.0,72.0,63.0,26.0,9.0,,4.0,5.0,3.0,335.0,6.0,,,53.0,62.0,44.0,,,,,,147.0,147.0,2.0,31.0,30.0,41.2,,3.0,,2.0,23.0,0.0,62.0,5.0,1.0,6.0,,,6.0,,,5.0,8.0,89.0,246.0,16.0,9.0,139.0,45.0,21.0,11.0,5.0,29.0,24.0,,143.0,1.0,240.0,,1.0,23.0,1.0,64.0,1.0,350.0,3.0,0.0,12.0,23.0,1.0,17.0,3.0,551.0,26.0,9.0,,4.0,5.0,14.0,0.0,,,,,,,,,,,,,,,
