season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,blockedPass,penaltySave,putThrough,saves,attCorner,attFreekickPost,attOneOnOne,attemptsIbox,attemptsObox,contentiousDecision,openPlayPass,ptsGainedLosingPos,successfulOpenPlayPass,touchesInOppBox,attLgLeft,attLgRight,attemptedTackleFoul,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,ptsDroppedWinningPos,subsGoals,successfulPutThrough,attOboxOwnGoal,fiftyFifty,keeperGoals,successfulFiftyFifty,winningGoal
2017-18,918995,11.0,2017-11-04 15:00:00,35,West Brom,Away,161.0,12.0,2.0,6.0,4.0,6.0,,175.0,1.0,,2.0,9.0,4.0,32.0,330.0,,1.0,24.0,19.0,17.0,9.0,,,,,,,,,,,7.0,,,,,,,,2.0,5.0,,67.0,57.0,,,,4.0,4.0,5.0,,5.0,3.0,12.0,,14.0,1.0,58.0,46.0,4.0,18.0,8.0,,,60.0,15.0,7.0,,,2.0,1.0,,145.0,,,,,,,4.0,,,,1.0,,,,,8.0,,11.0,11.0,1.0,2.0,100.0,86.0,57.0,3.0,,2.0,7.0,3.0,,,,2.0,,66.0,74.0,33.0,,,,,150.0,150.0,5.0,24.0,22.0,49.9,,,0.0,,,,105.0,,2.0,,,,2.0,,3.0,63.0,9.0,174.0,34.0,18.0,15.0,5.0,21.0,16.0,,110.0,12.0,264.0,1.0,,26.0,5.0,71.0,4.0,417.0,,0.0,9.0,13.0,1.0,30.0,4.0,599.0,16.0,9.0,5.0,10.0,0.0,9.0,,9.0,2.0,,,,3.0,6.0,,399.0,,318.0,14.0,,,10.0,,,,,,,4.0,,,,,
2017-18,919012,12.0,2017-11-18 15:00:00,35,West Brom,Home,152.0,13.0,1.0,3.0,2.0,1.0,,158.0,3.0,,1.0,7.0,3.0,30.0,307.0,,1.0,15.0,13.0,19.0,4.0,1.0,1.0,,,1.0,1.0,,,,,4.0,,,,,,,,8.0,3.0,,59.0,56.0,,1.0,,6.0,,15.0,,3.0,8.0,8.0,,8.0,1.0,54.0,56.0,6.0,16.0,10.0,,,61.0,13.0,9.0,,,2.0,2.0,1.0,133.0,,,,,,,5.0,,,,,,,,,10.0,,13.0,13.0,5.0,1.0,94.0,69.0,44.0,4.0,,4.0,1.0,2.0,,,2.0,3.0,,73.0,51.0,25.0,,,,,131.0,131.0,5.0,33.0,17.0,38.6,,,0.0,,,,92.0,2.0,1.0,,,1.0,5.0,,3.0,67.0,5.0,173.0,28.0,16.0,16.0,3.0,21.0,18.0,1.0,102.0,5.0,226.0,,1.0,26.0,3.0,59.0,3.0,378.0,,0.0,7.0,18.0,1.0,18.0,2.0,557.0,19.0,10.0,3.0,13.0,0.0,13.0,,13.0,3.0,,,,5.0,2.0,,358.0,,290.0,15.0,,,6.0,,,,,,,5.0,,,,,
2017-18,919021,13.0,2017-11-25 15:00:00,35,West Brom,Away,119.0,16.0,,2.0,2.0,5.0,,73.0,6.0,,,8.0,6.0,37.0,190.0,,,11.0,21.0,27.0,3.0,,,,,,,,,,,4.0,,,,,,,1.0,9.0,16.0,,42.0,64.0,1.0,1.0,,5.0,,17.0,,,7.0,2.0,,8.0,2.0,65.0,65.0,5.0,41.0,26.0,,,50.0,13.0,9.0,1.0,,,,,133.0,1.0,,1.0,1.0,,,13.0,,,1.0,1.0,,,,1.0,26.0,,13.0,13.0,3.0,,45.0,73.0,32.0,8.0,,3.0,1.0,2.0,,,10.0,1.0,,48.0,35.0,13.0,,,,,133.0,133.0,1.0,38.0,15.0,27.5,,,0.0,,,,46.0,1.0,3.0,,1.0,,3.0,,3.0,34.0,4.0,139.0,34.0,41.0,17.0,,9.0,9.0,,68.0,10.0,136.0,1.0,,22.0,7.0,74.0,6.0,266.0,,0.0,5.0,20.0,,19.0,4.0,472.0,20.0,10.0,,14.0,0.0,9.0,,9.0,4.0,,,,4.0,1.0,,232.0,,170.0,7.0,,,5.0,,,,,2.0,,5.0,,,,,
2017-18,919028,14.0,2017-11-28 20:00:00,35,West Brom,Home,153.0,19.0,,3.0,3.0,8.0,,155.0,,,1.0,9.0,7.0,28.0,305.0,,,18.0,27.0,27.0,3.0,,,,,,2.0,1.0,,,,4.0,,,,1.0,,,1.0,6.0,9.0,,68.0,78.0,2.0,,2.0,,2.0,6.0,,1.0,10.0,9.0,,7.0,1.0,62.0,72.0,,29.0,20.0,,,67.0,13.0,12.0,1.0,,4.0,1.0,2.0,154.0,2.0,,2.0,2.0,,,8.0,,,2.0,,,,,1.0,20.0,1.0,13.0,13.0,1.0,1.0,79.0,82.0,37.0,6.0,1.0,1.0,4.0,4.0,,,5.0,2.0,1.0,62.0,71.0,23.0,,,,,150.0,150.0,10.0,37.0,25.0,47.9,1.0,,0.0,,,,100.0,,3.0,,,,2.0,,3.0,80.0,5.0,175.0,32.0,29.0,22.0,1.0,21.0,20.0,,117.0,12.0,247.0,,,35.0,8.0,69.0,,401.0,,0.0,8.0,22.0,,20.0,0.0,610.0,14.0,11.0,1.0,18.0,0.0,18.0,,18.0,3.0,,,,5.0,3.0,,378.0,,295.0,10.0,,,8.0,,,,,2.0,,7.0,,,,,
2017-18,919042,15.0,2017-12-02 15:00:00,35,West Brom,Home,111.0,24.0,3.0,10.0,7.0,3.0,1.0,187.0,5.0,,2.0,6.0,6.0,40.0,288.0,,,20.0,31.0,27.0,10.0,4.0,,,,,,,,,,15.0,,,,,,,3.0,7.0,3.0,,57.0,70.0,1.0,2.0,,5.0,6.0,10.0,,3.0,16.0,5.0,,10.0,1.0,66.0,64.0,5.0,21.0,13.0,,,78.0,11.0,10.0,,,3.0,2.0,,175.0,,,,,,,8.0,,,,,,,,1.0,13.0,,16.0,16.0,4.0,2.0,81.0,84.0,43.0,7.0,,5.0,9.0,6.0,,,5.0,1.0,,86.0,52.0,41.0,,,,,170.0,170.0,6.0,32.0,29.0,51.1,,,0.0,,,,82.0,2.0,,,,,8.0,1.0,3.0,114.0,14.0,135.0,39.0,21.0,17.0,3.0,26.0,23.0,,167.0,11.0,286.0,,,31.0,6.0,79.0,3.0,395.0,,0.0,20.0,15.0,,29.0,3.0,616.0,19.0,12.0,3.0,9.0,0.0,15.0,,15.0,2.0,,,1.0,15.0,5.0,,377.0,,276.0,36.0,,,7.0,,,,,,,2.0,,,,,
2017-18,919050,16.0,2017-12-09 15:00:00,35,West Brom,Away,126.0,10.0,,3.0,3.0,6.0,,175.0,7.0,1.0,4.0,11.0,4.0,26.0,298.0,,,26.0,21.0,28.0,4.0,1.0,,,,,,,,,,6.0,,,,,,,1.0,8.0,10.0,,67.0,49.0,,,,3.0,3.0,13.0,,3.0,7.0,7.0,,15.0,1.0,71.0,55.0,3.0,29.0,21.0,,,70.0,18.0,8.0,,,1.0,,,172.0,,,,,,,12.0,,,,2.0,,,,,21.0,1.0,6.0,6.0,2.0,4.0,68.0,76.0,41.0,6.0,,2.0,3.0,1.0,,,7.0,2.0,,76.0,66.0,26.0,,,,,152.0,152.0,1.0,20.0,22.0,45.7,,,0.0,,,,89.0,2.0,,,,,3.0,,3.0,75.0,5.0,144.0,22.0,29.0,11.0,3.0,17.0,14.0,,125.0,14.0,269.0,2.0,1.0,42.0,4.0,74.0,2.0,396.0,,0.0,7.0,15.0,,30.0,5.0,589.0,12.0,6.0,3.0,8.0,0.0,12.0,,12.0,2.0,,,,5.0,2.0,,372.0,,287.0,16.0,,,13.0,,,,,,,7.0,,,,,
2017-18,919059,17.0,2017-12-13 20:00:00,35,West Brom,Away,88.0,8.0,1.0,3.0,2.0,2.0,,110.0,2.0,,2.0,15.0,4.0,29.0,195.0,,,11.0,17.0,17.0,4.0,2.0,,,,,,,,,,2.0,,,,1.0,,,2.0,10.0,4.0,,42.0,77.0,1.0,1.0,,1.0,1.0,17.0,2.0,7.0,8.0,4.0,,17.0,,59.0,64.0,1.0,31.0,14.0,,1.0,67.0,6.0,15.0,,,1.0,1.0,,151.0,,,,,,,8.0,,,,1.0,,,,,14.0,1.0,19.0,19.0,3.0,3.0,49.0,73.0,31.0,5.0,,4.0,2.0,1.0,,,8.0,1.0,,68.0,37.0,24.0,,,,,158.0,158.0,2.0,40.0,19.0,29.8,1.0,1.0,0.0,,,,49.0,3.0,2.0,,,,4.0,,2.0,63.0,6.0,111.0,15.0,31.0,10.0,6.0,19.0,13.0,,114.0,6.0,199.0,2.0,,49.0,5.0,75.0,4.0,291.0,,0.0,6.0,24.0,,15.0,1.0,511.0,16.0,7.0,7.0,15.0,0.0,23.0,,23.0,3.0,,,,3.0,3.0,,264.0,,184.0,5.0,,,1.0,,,,,,,13.0,,,,,
2017-18,919072,18.0,2017-12-17 14:15:00,35,West Brom,Home,156.0,15.0,2.0,8.0,6.0,2.0,,193.0,2.0,3.0,4.0,8.0,11.0,21.0,341.0,,,22.0,13.0,9.0,10.0,,,,,,,,,,,10.0,,,,,,,,5.0,3.0,,62.0,59.0,1.0,,1.0,1.0,4.0,10.0,,6.0,7.0,9.0,,7.0,,48.0,39.0,1.0,14.0,3.0,,,68.0,14.0,7.0,,,1.0,,,173.0,1.0,,,,1.0,,6.0,,,,,,,,1.0,3.0,,20.0,20.0,2.0,4.0,111.0,90.0,54.0,3.0,,3.0,8.0,5.0,,,3.0,1.0,,64.0,58.0,33.0,,,,,135.0,135.0,2.0,28.0,24.0,43.1,,1.0,0.0,,,,87.0,,1.0,,,,3.0,2.0,3.0,91.0,11.0,170.0,34.0,14.0,14.0,6.0,22.0,16.0,,144.0,7.0,285.0,,3.0,23.0,11.0,51.0,1.0,433.0,,0.0,12.0,15.0,,24.0,1.0,607.0,13.0,9.0,6.0,9.0,0.0,16.0,,16.0,1.0,,,,7.0,5.0,1.0,416.0,,331.0,17.0,,,10.0,,,,,,,8.0,,,,,
2017-18,919080,19.0,2017-12-23 15:00:00,35,West Brom,Away,146.0,19.0,4.0,12.0,8.0,8.0,,204.0,2.0,2.0,4.0,9.0,14.0,29.0,338.0,,4.0,37.0,33.0,24.0,8.0,4.0,,,,,,,,,,12.0,,,,,,,1.0,5.0,4.0,,74.0,65.0,2.0,2.0,1.0,,5.0,10.0,,11.0,20.0,9.0,,22.0,1.0,81.0,58.0,,16.0,10.0,,,86.0,11.0,9.0,1.0,,1.0,1.0,,185.0,1.0,,1.0,1.0,,,6.0,,,1.0,,,,,,10.0,,5.0,5.0,1.0,4.0,82.0,76.0,39.0,1.0,,3.0,10.0,7.0,,,2.0,3.0,,73.0,52.0,56.0,,,,,188.0,188.0,5.0,24.0,30.0,56.4,,,0.0,,,,104.0,1.0,1.0,,1.0,,5.0,3.0,3.0,112.0,13.0,169.0,40.0,16.0,15.0,11.0,41.0,30.0,,179.0,11.0,317.0,,2.0,32.0,15.0,67.0,2.0,445.0,,0.0,17.0,16.0,7.0,41.0,0.0,686.0,16.0,10.0,11.0,10.0,0.0,21.0,,21.0,2.0,,,1.0,12.0,5.0,,427.0,,327.0,34.0,,,7.0,,,,,,,7.0,,,,,
2017-18,919092,20.0,2017-12-26 15:00:00,35,West Brom,Home,95.0,16.0,2.0,11.0,9.0,2.0,1.0,179.0,2.0,,6.0,14.0,6.0,34.0,263.0,,,22.0,26.0,38.0,10.0,3.0,,,1.0,,1.0,,,,,9.0,,,,,,,3.0,5.0,2.0,,48.0,60.0,,1.0,,3.0,4.0,3.0,,10.0,21.0,8.0,,9.0,1.0,55.0,71.0,3.0,23.0,10.0,,,57.0,14.0,13.0,,,3.0,2.0,1.0,158.0,,,,,,,7.0,,,,1.0,,,,,10.0,,8.0,8.0,,6.0,72.0,67.0,33.0,2.0,,8.0,5.0,3.0,,,,2.0,,72.0,89.0,53.0,,,,,173.0,173.0,6.0,23.0,23.0,52.7,,,0.0,,,,92.0,3.0,,,2.0,,10.0,,3.0,89.0,13.0,124.0,40.0,23.0,15.0,10.0,41.0,31.0,,135.0,10.0,287.0,1.0,,32.0,6.0,71.0,1.0,370.0,,0.0,17.0,13.0,,28.0,2.0,577.0,11.0,8.0,10.0,6.0,0.0,13.0,,13.0,3.0,,,,12.0,5.0,,351.0,,250.0,26.0,,,5.0,,,,,,,4.0,,,,,
2017-18,919102,21.0,2017-12-31 16:30:00,35,West Brom,Home,93.0,17.0,2.0,8.0,6.0,6.0,,159.0,7.0,,3.0,8.0,2.0,32.0,244.0,,,11.0,12.0,18.0,8.0,,,,1.0,,2.0,1.0,,,,7.0,1.0,,,,,,1.0,7.0,8.0,,51.0,66.0,,,1.0,1.0,7.0,10.0,,5.0,13.0,10.0,,5.0,2.0,48.0,46.0,1.0,31.0,12.0,,1.0,54.0,14.0,7.0,1.0,,5.0,1.0,2.0,142.0,,,,,,,10.0,,,,,,,,,12.0,,12.0,12.0,2.0,3.0,61.0,83.0,38.0,6.0,,3.0,5.0,3.0,,,5.0,4.0,1.0,45.0,88.0,31.0,,,,1.0,135.0,135.0,4.0,30.0,25.0,34.7,,,0.0,,,,68.0,1.0,3.0,,1.0,,4.0,1.0,3.0,79.0,8.0,107.0,36.0,31.0,15.0,4.0,28.0,24.0,,116.0,10.0,243.0,,1.0,30.0,4.0,71.0,1.0,322.0,,0.0,14.0,14.0,,15.0,3.0,517.0,16.0,8.0,5.0,8.0,0.0,11.0,,11.0,4.0,,,,9.0,5.0,,300.0,1.0,229.0,22.0,,,10.0,,,,,,,4.0,,,,,
2017-18,919112,22.0,2018-01-02 19:45:00,35,West Brom,Away,151.0,18.0,1.0,4.0,3.0,2.0,,180.0,7.0,,1.0,8.0,8.0,33.0,327.0,,,14.0,24.0,16.0,9.0,,1.0,,,,,,1.0,,,11.0,,,,,,,1.0,10.0,3.0,,64.0,62.0,1.0,1.0,,1.0,3.0,14.0,,4.0,9.0,7.0,,7.0,3.0,65.0,53.0,1.0,37.0,19.0,,2.0,72.0,12.0,12.0,,,4.0,3.0,,170.0,1.0,,,1.0,,1.0,7.0,,,1.0,1.0,,,,,19.0,,9.0,9.0,2.0,1.0,89.0,81.0,50.0,3.0,1.0,4.0,6.0,3.0,,,3.0,,,85.0,61.0,32.0,,,,,137.0,137.0,2.0,27.0,26.0,47.4,,,0.0,,,,90.0,3.0,,,,1.0,6.0,,3.0,83.0,10.0,162.0,37.0,37.0,18.0,4.0,23.0,19.0,2.0,135.0,12.0,274.0,1.0,,29.0,10.0,68.0,1.0,413.0,,0.0,12.0,16.0,,16.0,2.0,601.0,14.0,10.0,4.0,10.0,0.0,17.0,,17.0,3.0,,,,5.0,7.0,,391.0,,311.0,13.0,,,5.0,,,,,3.0,,9.0,,,,,
2017-18,919122,23.0,2018-01-13 15:00:00,35,West Brom,Home,95.0,15.0,5.0,7.0,2.0,3.0,1.0,156.0,3.0,,1.0,15.0,4.0,32.0,244.0,1.0,,16.0,20.0,23.0,7.0,2.0,,,,,,,,,,9.0,,,,,,,2.0,7.0,6.0,,56.0,66.0,1.0,,1.0,3.0,5.0,3.0,,9.0,8.0,5.0,2.0,13.0,,48.0,54.0,3.0,25.0,16.0,,,70.0,8.0,13.0,,,1.0,1.0,,174.0,2.0,1.0,2.0,,2.0,,9.0,,,,3.0,,,,,16.0,,11.0,11.0,2.0,1.0,70.0,87.0,43.0,6.0,,5.0,6.0,4.0,,,4.0,1.0,,42.0,71.0,30.0,,,,,161.0,161.0,6.0,29.0,22.0,44.1,,,0.0,,,,55.0,,1.0,,,,6.0,1.0,3.0,84.0,11.0,118.0,24.0,25.0,13.0,8.0,22.0,14.0,,140.0,14.0,259.0,3.0,,53.0,4.0,86.0,3.0,355.0,1.0,0.0,15.0,9.0,,18.0,0.0,545.0,12.0,9.0,10.0,6.0,0.0,19.0,,19.0,1.0,,,,8.0,7.0,1.0,325.0,,230.0,20.0,1.0,,3.0,,,,,,,8.0,,,,,
2017-18,919126,24.0,2018-01-20 15:00:00,35,West Brom,Away,108.0,7.0,1.0,4.0,3.0,2.0,,119.0,2.0,,1.0,22.0,10.0,30.0,223.0,,1.0,24.0,24.0,35.0,10.0,1.0,,,,,,,,,,14.0,,,,1.0,,,,7.0,2.0,,56.0,73.0,1.0,,1.0,2.0,1.0,8.0,,3.0,10.0,4.0,,20.0,2.0,61.0,71.0,2.0,21.0,9.0,,,73.0,10.0,14.0,1.0,,,1.0,,179.0,1.0,,1.0,1.0,,,7.0,,,1.0,2.0,,,,1.0,9.0,1.0,15.0,15.0,2.0,1.0,64.0,79.0,33.0,,,7.0,5.0,5.0,,,3.0,2.0,,60.0,58.0,26.0,,,,,195.0,195.0,9.0,28.0,24.0,43.2,1.0,,0.0,,,,57.0,2.0,1.0,,2.0,,9.0,,3.0,58.0,12.0,149.0,16.0,21.0,9.0,3.0,18.0,15.0,,110.0,11.0,225.0,2.0,,61.0,11.0,80.0,,356.0,,0.0,15.0,15.0,1.0,31.0,1.0,579.0,18.0,8.0,3.0,8.0,0.0,29.0,,29.0,3.0,,,,9.0,6.0,,332.0,,213.0,18.0,,,3.0,,,,,2.0,,16.0,,,,,
2017-18,919138,25.0,2018-01-31 20:00:00,35,West Brom,Away,110.0,21.0,,,,5.0,,52.0,3.0,,1.0,7.0,4.0,24.0,162.0,,,16.0,15.0,11.0,2.0,,,,,,,,,,,3.0,,,,,,,,12.0,7.0,,41.0,59.0,,,,6.0,1.0,13.0,,1.0,,1.0,,13.0,5.0,53.0,42.0,6.0,27.0,14.0,,,37.0,10.0,9.0,,,,,,111.0,,,,,,,7.0,,,,,,,,,14.0,,17.0,17.0,4.0,1.0,52.0,57.0,23.0,9.0,,,2.0,1.0,,,2.0,1.0,,28.0,29.0,7.0,,,,,119.0,119.0,,40.0,14.0,25.7,,1.0,0.0,,,,42.0,4.0,3.0,,,,1.0,,3.0,21.0,2.0,141.0,42.0,27.0,9.0,1.0,2.0,1.0,,50.0,7.0,107.0,,,25.0,6.0,60.0,,246.0,,0.0,3.0,17.0,,21.0,3.0,418.0,11.0,6.0,1.0,12.0,0.0,23.0,,23.0,7.0,,,,2.0,1.0,,222.0,,151.0,5.0,,,5.0,,,,,,,12.0,,,,,
2017-18,919152,26.0,2018-02-03 15:00:00,35,West Brom,Home,77.0,15.0,3.0,6.0,3.0,4.0,,143.0,7.0,,1.0,17.0,7.0,41.0,214.0,,,16.0,26.0,29.0,3.0,,,,,1.0,3.0,,,,,4.0,,,,,,,,7.0,6.0,,37.0,58.0,1.0,,1.0,3.0,2.0,14.0,,5.0,10.0,9.0,1.0,10.0,2.0,65.0,60.0,3.0,14.0,7.0,,1.0,74.0,12.0,10.0,1.0,,3.0,1.0,3.0,176.0,2.0,1.0,2.0,,2.0,,10.0,,,,3.0,,,,,7.0,,16.0,16.0,3.0,1.0,57.0,84.0,45.0,7.0,,3.0,2.0,3.0,,,3.0,2.0,,48.0,59.0,35.0,,,,,166.0,166.0,,27.0,19.0,38.9,,,0.0,,,,52.0,2.0,,,1.0,,4.0,,3.0,75.0,5.0,102.0,27.0,14.0,14.0,4.0,24.0,20.0,,132.0,14.0,244.0,3.0,,46.0,8.0,80.0,1.0,322.0,1.0,0.0,9.0,11.0,1.0,21.0,2.0,508.0,18.0,10.0,5.0,7.0,0.0,19.0,,19.0,2.0,,,,4.0,5.0,1.0,298.0,,194.0,18.0,,,6.0,,,,,3.0,,12.0,,,,,
2017-18,919153,27.0,2018-02-12 20:00:00,35,West Brom,Away,171.0,15.0,1.0,3.0,2.0,1.0,,173.0,4.0,1.0,1.0,9.0,10.0,31.0,341.0,,,12.0,16.0,25.0,4.0,1.0,,,,,,,,,,6.0,,,,,,,1.0,15.0,5.0,,67.0,69.0,,1.0,,1.0,,20.0,,7.0,13.0,7.0,,16.0,3.0,68.0,61.0,1.0,15.0,7.0,,,65.0,11.0,11.0,,,1.0,,,145.0,,,,,,,8.0,,,,,,,,,7.0,,11.0,11.0,3.0,1.0,86.0,68.0,44.0,8.0,,5.0,,1.0,,,6.0,,,37.0,89.0,33.0,,,,,144.0,144.0,5.0,35.0,24.0,43.0,,,0.0,,,,130.0,3.0,2.0,,,,7.0,,3.0,81.0,5.0,188.0,33.0,15.0,19.0,5.0,25.0,20.0,,126.0,10.0,265.0,,1.0,23.0,10.0,65.0,3.0,428.0,,0.0,8.0,12.0,3.0,12.0,2.0,618.0,11.0,14.0,7.0,6.0,0.0,16.0,,16.0,5.0,,,1.0,5.0,3.0,1.0,402.0,,321.0,11.0,,,8.0,,,,,,,9.0,,,,,
2017-18,919172,28.0,2018-02-24 15:00:00,35,West Brom,Home,140.0,20.0,2.0,3.0,1.0,6.0,,137.0,4.0,,3.0,11.0,6.0,35.0,274.0,1.0,,27.0,31.0,27.0,4.0,2.0,1.0,,,1.0,1.0,,,,,6.0,,,,,,,1.0,8.0,8.0,,61.0,76.0,2.0,1.0,1.0,2.0,2.0,8.0,,6.0,10.0,2.0,1.0,19.0,4.0,79.0,60.0,2.0,30.0,16.0,,,79.0,11.0,9.0,,,4.0,1.0,1.0,194.0,1.0,1.0,1.0,,1.0,,5.0,,,,,,,,,16.0,,12.0,12.0,,3.0,78.0,91.0,42.0,3.0,,3.0,4.0,3.0,,,4.0,3.0,,65.0,38.0,30.0,,,,,206.0,206.0,4.0,33.0,29.0,53.3,,,0.0,,,,72.0,2.0,3.0,,2.0,1.0,5.0,,3.0,64.0,7.0,175.0,47.0,30.0,21.0,5.0,18.0,13.0,1.0,125.0,18.0,248.0,,,38.0,9.0,83.0,7.0,405.0,1.0,0.0,10.0,13.0,,29.0,1.0,634.0,19.0,11.0,6.0,7.0,0.0,14.0,,14.0,5.0,,,,6.0,4.0,,385.0,,264.0,18.0,,,8.0,,,,,,,4.0,,,,,
2017-18,919182,29.0,2018-03-03 15:00:00,35,West Brom,Away,120.0,10.0,3.0,8.0,5.0,5.0,,116.0,2.0,,2.0,11.0,4.0,28.0,228.0,,1.0,22.0,25.0,38.0,6.0,,,,1.0,,1.0,,,,1.0,8.0,,,,,,,,10.0,5.0,,48.0,60.0,2.0,2.0,,,2.0,12.0,1.0,6.0,20.0,3.0,,9.0,1.0,57.0,73.0,,39.0,20.0,,,59.0,12.0,11.0,,,3.0,1.0,1.0,164.0,,,,,,,9.0,,,,,,,,2.0,20.0,,14.0,14.0,1.0,2.0,63.0,73.0,31.0,4.0,,4.0,2.0,2.0,,,6.0,2.0,,36.0,66.0,33.0,,,,,171.0,171.0,2.0,27.0,25.0,46.7,,,0.0,,,,71.0,3.0,,,1.0,,5.0,1.0,3.0,59.0,6.0,157.0,32.0,39.0,10.0,6.0,30.0,24.0,,108.0,17.0,219.0,1.0,,30.0,4.0,74.0,1.0,346.0,,0.0,9.0,17.0,3.0,27.0,0.0,565.0,11.0,7.0,6.0,14.0,0.0,25.0,,25.0,2.0,,,,6.0,3.0,1.0,320.0,,217.0,23.0,,,6.0,,,,,,,7.0,,,,,
2017-18,919191,30.0,2018-03-10 15:00:00,35,West Brom,Home,124.0,16.0,1.0,2.0,1.0,2.0,,145.0,3.0,2.0,3.0,6.0,15.0,26.0,267.0,,,17.0,30.0,18.0,2.0,,,,,,,,,,,5.0,,,,,,,,9.0,5.0,,62.0,54.0,,,,4.0,1.0,12.0,,7.0,10.0,2.0,,9.0,2.0,64.0,50.0,4.0,16.0,7.0,,,73.0,6.0,7.0,1.0,,1.0,2.0,,163.0,1.0,,1.0,1.0,,,10.0,,,1.0,,,,,1.0,7.0,1.0,7.0,7.0,1.0,3.0,66.0,84.0,38.0,6.0,,,3.0,2.0,,,3.0,2.0,,39.0,76.0,27.0,,,,,162.0,162.0,1.0,26.0,20.0,43.8,,,0.0,,,,71.0,2.0,,,1.0,,3.0,,3.0,79.0,3.0,146.0,41.0,16.0,16.0,7.0,21.0,14.0,,134.0,6.0,237.0,,2.0,23.0,15.0,69.0,1.0,362.0,,0.0,6.0,17.0,,30.0,1.0,545.0,15.0,8.0,7.0,10.0,0.0,17.0,,17.0,3.0,,,,2.0,4.0,,338.0,,256.0,12.0,,,3.0,,,,,3.0,,11.0,,,,,
2017-18,919193,31.0,2018-03-17 15:00:00,35,West Brom,Away,118.0,23.0,,8.0,8.0,5.0,,137.0,1.0,,1.0,9.0,6.0,33.0,247.0,,,15.0,18.0,19.0,8.0,,,,,,,,,,,11.0,,,,,,,,7.0,10.0,,59.0,79.0,3.0,2.0,1.0,1.0,4.0,6.0,,2.0,12.0,5.0,,12.0,2.0,51.0,49.0,1.0,25.0,10.0,,,68.0,9.0,6.0,1.0,,,,,160.0,1.0,,1.0,1.0,,,6.0,,,1.0,1.0,,,,,10.0,,15.0,15.0,3.0,1.0,63.0,88.0,38.0,3.0,,1.0,8.0,6.0,,,5.0,2.0,,57.0,44.0,30.0,,,,,160.0,160.0,11.0,40.0,17.0,39.4,,,0.0,,,,68.0,1.0,2.0,,2.0,,1.0,,3.0,61.0,9.0,139.0,44.0,25.0,10.0,2.0,19.0,17.0,,111.0,12.0,230.0,1.0,,35.0,8.0,83.0,1.0,350.0,,0.0,11.0,21.0,2.0,21.0,2.0,549.0,18.0,3.0,2.0,12.0,0.0,20.0,,20.0,3.0,,,,8.0,3.0,1.0,326.0,,238.0,23.0,,,4.0,,,,,3.0,,10.0,,,,,
